,id,first_name,second_name,team_name,team_id,type_name,now_cost,chance_of_playing_next_round,chance_of_playing_this_round,minutes,form,bonus_form_t1,fantasy_form_t1,cost_t1,own_team_form,home,next_team_t,next_team_pos,fantasy_points_t
0,1,Wojciech,Szczesny,Arsenal,1,Goalkeeper,50,0.0,0.0,0,0.0,0,0,50,3,False,SWA,13,0
1,2,David,Ospina,Arsenal,1,Goalkeeper,47,100.0,100.0,0,0.0,0,0,47,3,False,SWA,13,0
2,3,Petr,Cech,Arsenal,1,Goalkeeper,59,,,2430,5.3,119,24,56,3,False,SWA,13,7
3,4,Laurent,Koscielny,Arsenal,1,Defender,63,100.0,100.0,2035,3.3,109,16,59,3,False,SWA,13,15
4,5,Per,Mertesacker,Arsenal,1,Defender,52,100.0,100.0,1637,0.5,85,12,53,3,False,SWA,13,6
5,6,Gabriel Armando,de Abreu,Arsenal,1,Defender,43,100.0,75.0,1004,3.3,55,9,49,3,False,SWA,13,0
6,7,Héctor,Bellerín,Arsenal,1,Defender,61,100.0,100.0,2250,4.0,161,31,58,3,False,SWA,13,6
7,8,Kieran,Gibbs,Arsenal,1,Defender,52,100.0,100.0,284,0.3,5,1,52,3,False,SWA,13,1
8,9,Mathieu,Debuchy,Arsenal,1,Defender,51,0.0,0.0,142,0.0,0,0,52,3,False,SWA,13,0
9,10,Carl,Jenkinson,Arsenal,1,Defender,48,0.0,0.0,1228,0.0,84,18,50,3,False,WAT,9,1
10,11,Nacho,Monreal,Arsenal,1,Defender,59,,,2349,4.3,153,27,58,3,False,SWA,13,6
11,12,Calum,Chambers,Arsenal,1,Defender,46,,,317,0.3,7,-1,48,3,False,SWA,13,1
12,13,Alexis,Sánchez,Arsenal,1,Midfielder,110,100.0,100.0,1486,2.5,168,51,115,3,False,SWA,13,3
13,14,Theo,Walcott,Arsenal,1,Midfielder,81,100.0,100.0,1266,2.5,60,29,86,3,False,SWA,13,0
14,15,Mesut,Özil,Arsenal,1,Midfielder,99,100.0,100.0,2169,8.0,148,37,85,3,False,SWA,13,10
15,16,Santiago,Cazorla,Arsenal,1,Midfielder,79,0.0,0.0,1203,0.0,132,19,81,3,False,SWA,13,3
16,17,Aaron,Ramsey,Arsenal,1,Midfielder,79,100.0,100.0,2037,2.8,58,18,82,3,False,SWA,13,0
17,18,Jack,Wilshere,Arsenal,1,Midfielder,58,0.0,0.0,0,0.0,0,0,58,3,False,SWA,13,0
18,19,Alex,Oxlade-Chamberlain,Arsenal,1,Midfielder,55,0.0,0.0,928,2.5,16,5,56,3,False,SWA,13,0
19,20,Mikel,Arteta,Arsenal,1,Midfielder,47,100.0,100.0,166,0.0,19,3,47,3,False,SWA,13,0
20,21,Tomas,Rosicky,Arsenal,1,Midfielder,49,0.0,0.0,0,0.0,0,0,49,3,False,SWA,13,0
21,22,Serge,Gnabry,Arsenal,1,Midfielder,45,100.0,100.0,13,0.0,0,0,46,3,True,LEI,3,0
22,23,Gedion,Zelalem,Arsenal,1,Midfielder,48,0.0,0.0,0,0.0,0,0,48,3,False,SWA,13,0
23,24,Francis,Coquelin,Arsenal,1,Midfielder,42,100.0,100.0,1048,1.0,67,9,44,3,False,SWA,13,3
24,25,Mathieu,Flamini,Arsenal,1,Midfielder,44,100.0,100.0,1083,1.3,2,1,44,3,False,SWA,13,0
25,26,Olivier,Giroud,Arsenal,1,Forward,90,,,1817,3.3,80,17,87,3,False,SWA,13,6
26,27,Danny,Welbeck,Arsenal,1,Forward,73,100.0,100.0,90,4.0,0,0,74,3,False,SWA,13,0
27,28,Chuba,Akpom,Arsenal,1,Forward,50,0.0,0.0,0,0.0,0,0,50,3,False,SWA,13,0
28,29,Yaya,Sanogo,Arsenal,1,Forward,50,0.0,0.0,0,0.0,0,0,50,3,False,SWA,13,0
29,30,Bradley,Guzan,Aston Villa,2,Goalkeeper,42,,,1800,0.0,95,13,45,3,False,TOT,5,2
30,31,Shay,Given,Stoke,15,Goalkeeper,43,0.0,0.0,0,0.0,0,0,44,3,False,NEW,18,0
31,32,Leandro,Bacuna,Aston Villa,2,Defender,47,100.0,100.0,1746,3.3,21,2,48,3,False,TOT,5,1
32,33,Kieran,Richardson,Aston Villa,2,Defender,41,100.0,100.0,559,0.3,0,0,43,3,False,TOT,5,0
33,34,Ron,Vlaar,Aston Villa,2,Defender,45,,,0,0.0,0,0,45,3,False,TOT,5,0
34,35,Philippe,Senderos,Aston Villa,2,Defender,40,100.0,100.0,0,0.0,0,0,40,3,False,TOT,5,0
35,36,Aly,Cissokho,Aston Villa,2,Defender,45,,,720,1.8,0,0,45,3,False,TOT,5,0
36,37,Alan,Hutton,Aston Villa,2,Defender,41,100.0,100.0,1526,0.3,77,8,43,3,False,TOT,5,0
37,38,Ciaran,Clark,Aston Villa,2,Defender,43,100.0,100.0,812,0.3,0,0,44,3,False,TOT,5,1
38,39,Jores,Okore,Aston Villa,2,Defender,44,100.0,100.0,990,1.8,0,0,44,3,False,TOT,5,0
39,40,Nathan,Baker,Aston Villa,2,Defender,40,0.0,0.0,0,0.0,0,0,40,3,False,TOT,5,0
40,41,Lewis,Kinsella,Aston Villa,2,Defender,38,,,0,0.0,0,0,39,3,False,TOT,5,0
41,42,Micah,Richards,Aston Villa,2,Defender,43,100.0,100.0,1704,1.5,96,11,46,3,False,TOT,5,0
42,43,Fabian,Delph,Man City,9,Midfielder,54,0.0,0.0,514,0.3,0,0,54,3,True,NOR,16,0
43,44,Carles,Gil de Pareja Vicent,Aston Villa,2,Midfielder,46,100.0,100.0,1229,2.8,63,12,48,3,False,TOT,5,1
44,45,Charles,N'Zogbia,Aston Villa,2,Midfielder,45,,,43,0.0,0,0,46,3,False,TOT,5,0
45,46,Joe,Cole,Aston Villa,2,Midfielder,47,0.0,0.0,0,0.0,0,0,48,3,False,TOT,5,0
46,47,Jack,Grealish,Aston Villa,2,Midfielder,52,0.0,0.0,762,0.0,66,13,54,3,False,TOT,5,2
47,48,Scott,Sinclair,Aston Villa,2,Midfielder,42,,,1131,0.8,-5,6,48,3,False,TOT,5,2
48,49,Ashley,Westwood,Aston Villa,2,Midfielder,42,100.0,100.0,1747,1.5,65,9,45,3,False,TOT,5,1
49,50,Carlos,Sánchez,Aston Villa,2,Midfielder,43,0.0,0.0,1043,0.0,36,5,43,3,False,TOT,5,2
50,51,Christian,Benteke,Liverpool,8,Forward,80,100.0,100.0,1234,0.7,25,7,82,1,False,CHE,15,9
51,52,Gabriel,Agbonlahor,Aston Villa,2,Forward,47,100.0,100.0,880,3.0,23,7,48,1,False,TOT,5,1
52,53,Libor,Kozák,Aston Villa,2,Forward,44,0.0,0.0,258,0.0,0,0,46,1,False,TOT,5,0
53,54,Rushian,Hepburn-Murphy,Aston Villa,2,Forward,41,,,0,0.0,0,0,43,1,False,TOT,5,0
54,55,Artur,Boruc,Bournemouth,3,Goalkeeper,45,100.0,100.0,1980,3.0,57,11,45,1,False,SOU,7,0
55,56,Adam,Federici,Bournemouth,3,Goalkeeper,44,100.0,100.0,405,0.0,16,2,44,1,False,SOU,7,1
56,57,Simon,Francis,Bournemouth,3,Defender,41,,,2396,2.8,106,14,45,1,False,SOU,7,0
57,58,Steve,Cook,Bournemouth,3,Defender,42,100.0,100.0,2205,2.8,86,18,44,1,False,SOU,7,0
58,59,Tommy,Elphick,Bournemouth,3,Defender,42,100.0,100.0,450,0.0,13,1,44,1,False,SOU,7,0
59,60,Charlie,Daniels,Bournemouth,3,Defender,47,100.0,100.0,2295,5.5,84,12,45,1,False,SOU,7,1
60,61,Adam,Smith,Bournemouth,3,Defender,41,,,1673,2.3,33,3,40,1,False,SOU,7,1
61,62,Tyrone,Mings,Bournemouth,3,Defender,41,0.0,0.0,11,0.0,0,0,42,1,False,SOU,7,0
62,63,Sylvain,Distin,Bournemouth,3,Defender,40,100.0,100.0,842,0.3,80,9,43,1,False,SOU,7,1
63,64,Matt,Ritchie,Bournemouth,3,Midfielder,53,100.0,100.0,2149,4.3,73,18,56,1,False,SOU,7,2
64,65,Christian,Atsu,Chelsea,4,Midfielder,50,0.0,0.0,0,0.0,0,0,51,1,False,SOU,7,0
65,66,Joshua,King,Bournemouth,3,Midfielder,43,100.0,100.0,1124,1.5,17,5,46,1,False,SOU,7,1
66,67,Harry,Arter,Bournemouth,3,Midfielder,47,100.0,100.0,1372,2.0,0,0,47,1,False,SOU,7,2
67,68,Marc,Pugh,Bournemouth,3,Midfielder,46,100.0,100.0,933,2.3,34,10,49,1,False,SOU,7,1
68,69,Andrew,Surman,Bournemouth,3,Midfielder,43,,,2430,1.8,74,11,44,1,False,SOU,7,2
